Title,Company,Location,Salary,Link,Summary
2020년 하반기 (AI/딥러닝 알고리즘 설계/개발),씨젠,서울 송파구,,https://kr.indeed.com/viewjob?jk=,"설계 및 구현 경험 • R, Python 등 프로그래밍 언어 사용 능숙... 인공지능)> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷..."
"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔,서울 영등포구,,https://kr.indeed.com/viewjob?jk=,"시스템, 머신러닝, 자연어처리. 패턴분석 - 다음 언어에서 최소 한 가지 이상 능숙자: Java, C++, Python, JavaScript 우대사항 - 석사이상 컴퓨터공학 (Computer Science) 분야 또는..."
[인재풀] Central Development Services,Electronic Arts,서울,,https://kr.indeed.com/viewjob?jk=,"제안 및 구현할 수 있는 능력 - C++, C#, Java, Object C 등의 프로그래밍 언어 및 Python, Shell Scripts, Ruby 등 스크립팅 능력 - 테스트 자동화, CI 시스템 등의 개발 및 관리..."
[반도체IP 전문기업] Reference SW Engineer (Juni...,커리어라임즈,서울,,https://kr.indeed.com/viewjob?jk=,우대사항] • script 언어 사용 가능 : shell or python • Embedded Linux 환경 개발 경험 (BSP) • Multi... 사용 가능 : shell or python • Embedded Linux...
DATA ANALYST,"ODK Media, Inc.",서울,,https://kr.indeed.com/viewjob?jk=,"thinking, and embracing fun! Tech stack Python (for analytics) / R Google Bigquery... software (e.g., R, Python(for analytics..."
NAVER IDC 서버 운영/관리(가산),NIT Service,서울 가산동,,https://kr.indeed.com/viewjob?jk=,"사항] - Web, WAS에 대한 지식과 System application 운영 경험 - Shell script, python 활용 가능 - 해외 데이터센터 인프라 구축 또는 운영 경험 [고용형태] - 정규직 [근무지역..."
Junior Full-stack Developer,Asiance,서울,,https://kr.indeed.com/viewjob?jk=,"React 혹은 WordPress 등의 CMS도 사용. • Python, Node.js, Java, PHP for backend development. • Python, Node.js, Java, PHP 등을 사용하여 백엔드..."
"Sales Engineer, Sr II",Synopsys,서울,,https://kr.indeed.com/viewjob?jk=,"Objective-C, and scripting languages... JavaScript, Perl and Python, and CI/CD environment... Jenkins, GitHub, JIRA..."
2020년 하반기 (Data Scientist),씨젠,서울 송파구,,https://kr.indeed.com/viewjob?jk=,게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임... 게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머> Python
2020 전문연구요원 공개 채용,넷마블,서울 구로구,,https://kr.indeed.com/viewjob?jk=,"제작 과정을 고도화하기 위한 인공지능 기술 연구 개발 자격요건 * 보충역/전직 대상자에 한해 지원 가능 - Python, Java, C++ 등 한 가지 이상의 프로그래밍 언어 프레임워크 능력 - 디자인 패턴 기반 설계 및..."
2020년 창업역량강화 실전창업교육 무료,한국여성과학기술인지원센터,서울 강남구,,https://kr.indeed.com/viewjob?jk=,통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임... 로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>증강현실(AR)|인터넷...
Data Center Technician,Amzn Corporate Services Korea,서울,,https://kr.indeed.com/viewjob?jk=,"vendors · Scripting skills - Bash, Python, Perl, etc. · Project coordination... 스크립팅 기술 - Bash, Python, Perl 등 보유자 · 프로젝트..."
Data Scientist,레이니스트,서울,,https://kr.indeed.com/viewjob?jk=,"기반 예측, 모델링 프로젝트 경험자 데이터 분석/모델링을 위한 언어 및 프레임워크 사용에 익숙하신 분 ( Python, R, SQL, Pandas, TensorFlow, Pytorch, Spark 등) 회사 내부 구성원들과..."
Senior Specialist Consultant - AI/ML,Amazon Web Services Korea LLC,서울,,https://kr.indeed.com/viewjob?jk=,"experience in software development in languages like Java, Python, Scala. Experience working with RESTful API and general..."
Back-end Engineer (Python),Soomgo,서울 강남구,,https://kr.indeed.com/viewjob?jk=,래픽 처리를 위한 AWS 인프라 구축 • 5년 이상의 웹/앱 서비스 백엔드 시스템 개발 경험이 있는 분 • Python 언어를 활용한 개발 경험이 있는 분 • 성능 최적화에 대해 지속적으로 고민하고 노력하시는 분 • AWS...
Data Engineer,NHN godo,서울 구로구,,https://kr.indeed.com/viewjob?jk=,"MongoDB, CouchBase, Hadoop, Redis 등 운영 경험이 있는 분 - PHP, Python, JAVA, GO 중 1개 이상 사용한 개발이 가능한 분 - Spark, ELK, R, MapReduce 사용..."
[유명생보사] 통계분석 모델링 담당자,㈜에프앤이그재제큐티브,서울,,https://kr.indeed.com/viewjob?jk=,"경력 2년 이상 - 마케팅 데이터 모델링 경험자 - SAS, R, Python 시각화툴 SQL 등 분석 소프트웨어 사용가능자 - 통계/수학/금융공학... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
백엔드 개발자(데이터 엔지니어) - Junior,유저해빗,서울 마포구,"연봉 35,000,000원 - 45,000,000원",https://kr.indeed.com/viewjob?jk=,"Cloudera , Hortonworks 등 Hadoop Cluster 설치 및 운영 경험 - 언어 : Python, Go - 스타트업 경험 -즉시출근 가능 1 명 근무조건 고용형태: 정규직(수습기간3개월) 급여조건: 연봉..."
Data Engineer,고도소프트,서울 구로구,,https://kr.indeed.com/viewjob?jk=,"MongoDB, CouchBase, Hadoop, Redis 등 운영 경험이 있는 분 - PHP, Python, JAVA, GO 중 1개 이상 사용한 개발이 가능한 분 우대사항 - Spark, ELK, R, MapReduce..."
AWS 데이터 센터 경력사원,아마존웹서비시즈코리아,서울,,https://kr.indeed.com/viewjob?jk=,"i.e. Bash, Python, PowerShell etc... node.js)/ iOS (Objective-C / Swift) / Python / Ruby / Go Customer service experience..."
Cross Border Ecommerce - Business Intell...,Shopee,서울,,https://kr.indeed.com/viewjob?jk=,business analyst related roles Proficient in SQL and Python Strong analytical skill and sensitivity to data Strong oral...
2020 KB데이타시스템 경력직 상시,KB데이타시스템,서울 마포구,,https://kr.indeed.com/viewjob?jk=,오픈소스를 이용한 개발경험 - Docker등 컨테이너 기술에 대한 이해 - TDD/DDD에 대한 이해 - Python. Nodeis등의 언어사용 경험 PaaS 개발 경력 0명 [지원자격] - Linux Redhat/Ubunt...
(주)신세계아이앤씨 경력사원 상시,신세계아이앤씨,서울 중구,,https://kr.indeed.com/viewjob?jk=,리에 능숙한 자 -.데이터 I/F개발 및 운영경험자 기술요소 -.R 및 Python 기반 시스템 개발 및 운영 경험자 -.B2C 시스템 개발 및 운영... 통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임...
Data Analyst Senior,하이퍼커넥트,서울,,https://kr.indeed.com/viewjob?jk=,understanding of statistics Proficiency in R (or equivalent Python libraries) and Microsoft Excel Preferred Qualifications...
AI/ 음성인식/ 차량보안/ 빅데이터/ IoT 등 R&D 부문 경력,현대오토에버,서울 강남구,,https://kr.indeed.com/viewjob?jk=,"지식 Python,Scala 언어에 대한기본 지식 인증기술 인증기술 어플리케이션 개발 - 프로그래밍 언어 선택 1개 (Java/ Python/C++ 등... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
Python 신입/경력 정규직,태그바이컴퍼니,서울 강남구,,https://kr.indeed.com/viewjob?jk=,태그바이컴퍼니(주) Python 신입/경력 정규직 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] • 인플루언서 마케팅 플랫폼 [태그바... 소될 수 있습니다. 인터넷·IT·통신·모바일·게임>웹프로그래머> Python
Data & AI Technical Specialist,IBM,서울,,https://kr.indeed.com/viewjob?jk=,"Data Science space: SPSS, Decision Optimization, SAS, R and Python programming, etc. Knowledge... Open Source space..."
